STT, PO boxing, Lot boxing, Barcode, Line, Model, Time test FU, Time boxing, PIC boxing, Status Lot, Qty_PO
1,20230223_Day_Composite Main_6,VPM23021806BA7013,230224V004760R,6,Composite Main,2023-02-23 16:29:19,2/23/2023 5:02:40 PM,1,Open,100
2,20230223_Day_Composite Main_6,VPM23021806BA7013,230224V004740R,6,Composite Main,2023-02-23 16:21:46,2/23/2023 5:05:45 PM,1,Open,100
3,20230223_Day_Composite Main_6,VPM23021806BA7013,230227V001470R,6,Composite Main,2023-02-23 16:02:46,2/23/2023 5:11:29 PM,1,Open,100
4,20230223_Day_Composite Main_6,VPM23021806BA7013,230227V001390R,6,Composite Main,2023-02-23 15:40:02,2/23/2023 5:11:34 PM,1,Open,100
