STT, PO boxing, Lot boxing, Barcode, Line, Model, Time test FU, Time boxing, PIC boxing, Status Lot, Qty_PO
1,20230308_Day_Cell Module_6,VPM23030806BA6048,230220V003170P,6,Cell Module,2023-03-08 00:31:54,3/8/2023 9:16:45 AM,1,Close,552
2,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V007650P,6,Cell Module,2023-03-08 00:49:17,3/8/2023 9:16:49 AM,1,Close,552
3,20230308_Day_Cell Module_6,VPM23030806BA6048,230220V003200P,6,Cell Module,2023-03-08 00:37:42,3/8/2023 9:17:02 AM,1,Close,552
4,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005770P,6,Cell Module,2023-03-08 00:33:41,3/8/2023 9:17:06 AM,1,Close,552
5,20230308_Day_Cell Module_6,VPM23030806BA6048,230220V003160P,6,Cell Module,2023-03-08 00:31:05,3/8/2023 9:17:18 AM,1,Close,552
6,20230308_Day_Cell Module_6,VPM23030806BA6048,230220V003150P,6,Cell Module,2023-03-08 00:30:16,3/8/2023 9:17:21 AM,1,Close,552
7,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V007670P,6,Cell Module,2023-03-08 00:50:55,3/8/2023 9:17:34 AM,1,Close,552
8,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005580P,6,Cell Module,2023-03-08 00:52:01,3/8/2023 9:17:37 AM,1,Close,552
9,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005600P,6,Cell Module,2023-03-08 00:53:39,3/8/2023 9:17:51 AM,1,Close,552
10,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005590P,6,Cell Module,2023-03-08 00:52:50,3/8/2023 9:17:54 AM,1,Close,552
11,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005670P,6,Cell Module,2023-03-08 00:59:51,3/8/2023 9:18:09 AM,1,Close,552
12,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005680P,6,Cell Module,2023-03-08 01:00:40,3/8/2023 9:18:12 AM,1,Close,552
13,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005640P,6,Cell Module,2023-03-08 00:54:41,3/8/2023 9:18:25 AM,1,Close,552
14,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005750P,6,Cell Module,2023-03-08 01:04:12,3/8/2023 9:18:29 AM,1,Close,552
15,20230308_Day_Cell Module_6,VPM23030806BA6048,230220V009270P,6,Cell Module,2023-03-08 00:58:05,3/8/2023 9:18:43 AM,1,Close,552
16,20230308_Day_Cell Module_6,VPM23030806BA6048,230220V009290P,6,Cell Module,2023-03-08 00:57:16,3/8/2023 9:18:46 AM,1,Close,552
17,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005660P,6,Cell Module,2023-03-08 00:56:19,3/8/2023 9:19:00 AM,1,Close,552
18,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005650P,6,Cell Module,2023-03-08 00:55:30,3/8/2023 9:19:03 AM,1,Close,552
19,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005740P,6,Cell Module,2023-03-08 01:03:23,3/8/2023 9:19:19 AM,1,Close,552
20,20230308_Day_Cell Module_6,VPM23030806BA6048,230302V005730P,6,Cell Module,2023-03-08 01:02:35,3/8/2023 9:19:23 AM,1,Close,552
21,20230308_Day_Cell Module_6,VPM23030806BA6049,230220V003190P,6,Cell Module,2023-03-08 00:36:53,3/8/2023 9:20:48 AM,1,Close,552
22,20230308_Day_Cell Module_6,VPM23030806BA6049,230302V006600P,6,Cell Module,2023-03-08 00:10:40,3/8/2023 9:20:52 AM,1,Close,552
23,20230308_Day_Cell Module_6,VPM23030806BA6049,230220V009300P,6,Cell Module,2023-03-08 00:40:18,3/8/2023 9:21:05 AM,1,Close,552
24,20230308_Day_Cell Module_6,VPM23030806BA6049,230220V003180P,6,Cell Module,2023-03-08 00:36:04,3/8/2023 9:21:09 AM,1,Close,552
25,20230308_Day_Cell Module_6,VPM23030806BA6049,230220V009150P,6,Cell Module,2023-03-08 00:41:15,3/8/2023 9:21:22 AM,1,Close,552
