STT, PO boxing, Lot boxing, Barcode, Line, Model, Time test FU, Time boxing, PIC boxing, Status Lot, Qty_PO
1,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007150R,6,Composite Main,2023-03-09 02:39:59,3/9/2023 1:46:37 PM,1,Close,91
2,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007140R,6,Composite Main,2023-03-09 02:28:32,3/9/2023 1:46:40 PM,1,Close,91
3,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V006920R,6,Composite Main,2023-03-09 02:32:25,3/9/2023 1:46:43 PM,1,Close,91
4,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V006910R,6,Composite Main,2023-03-09 02:36:07,3/9/2023 1:46:57 PM,1,Close,91
5,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V006930R,6,Composite Main,2023-03-09 02:51:17,3/9/2023 1:47:00 PM,1,Close,91
6,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V006940R,6,Composite Main,2023-03-09 02:47:34,3/9/2023 1:47:03 PM,1,Close,91
7,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007070R,6,Composite Main,2023-03-09 04:14:36,3/9/2023 1:47:25 PM,1,Close,91
8,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007250R,6,Composite Main,2023-03-09 03:38:57,3/9/2023 1:47:28 PM,1,Close,91
9,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007040R,6,Composite Main,2023-03-09 03:31:23,3/9/2023 1:47:52 PM,1,Close,91
10,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007310R,6,Composite Main,2023-03-09 03:27:30,3/9/2023 1:47:56 PM,1,Close,91
11,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007330R,6,Composite Main,2023-03-09 03:23:48,3/9/2023 1:47:59 PM,1,Close,91
12,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007160R,6,Composite Main,2023-03-09 02:43:41,3/9/2023 1:48:12 PM,1,Close,91
13,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007230R,6,Composite Main,2023-03-09 03:06:23,3/9/2023 1:48:15 PM,1,Close,91
14,20230309_Day_Composite Main_6,VPM23030906BA7002,230227V007210R,6,Composite Main,2023-03-09 02:17:16,3/9/2023 1:48:18 PM,1,Close,91
